V_TRI_SUBMISSION_NAICS.INDUSTRY_CODE,V_TRI_SUBMISSION_NAICS.INDUSTRY_DESCRIPTION,V_TRI_SUBMISSION_NAICS.NAICS_CODES,TRI_FACILITY.TRI_FACILITY_ID,TRI_FACILITY.STATE_ABBR,V_TRI_FORM_R_BR_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.STATE_ABBR,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.INDUSTRY_CODE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.UNINJ_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.PRIMARY_NAICS_CODE
325,Chemicals,325412,53593CTNGP2283H,WI,53593CTNGP2283H,2015,WI,25161,325,0,0,25161,25161,0,0,325412
336,Transportation Equipment,336390,49337DNNLL700SO,MI,49337DNNLL700SO,2015,MI,6646,336,0,181,6827,6646,0,0,336390
332,Fabricated Metals,332811,43613RSTLT5540J,OH,43613RSTLT5540J,2015,OH,0,332,0,0,0,0,0,0,332811
331,Primary Metals,331318333316,43143SHWLM10500,OH,43143SHWLM10500,2015,OH,8,331,0,2,10,8,0,0,331318
336,Transportation Equipment,336212,62565PHMFG604SL,IL,62565PHMFG604SL,2015,IL,0,336,0,0,0,0,0,0,336212
327,Nonmetallic Mineral Product,327213,4702WNCHRG2WEST,IN,4702WNCHRG2WEST,2015,IN,45.5,327,0,21.4595,66.9595,45.5,0,0,327213
332,Fabricated Metals,332811,6000WCHMPL18TUH,IL,6000WCHMPL18TUH,2015,IL,404,332,0,0,404,404,0,0,332811
326,Plastics and Rubber,326291,43351BRDGS235CO,OH,43351BRDGS235CO,2015,OH,9927,326,0,0,9927,9927,0,0,326291
332,Fabricated Metals,332420,43082WRTHN333MA,OH,43082WRTHN333MA,2015,OH,0,332,0,0,0,0,0,,332420
336,Transportation Equipment,336211,53566MNRTR1051W,WI,53566MNRTR1051W,2015,WI,18,336,0,0,18,18,0,0,336211
325,Chemicals,325920,55746VKNGX4469H,MN,55746VKNGX4469H,2015,MN,0,325,0,0,0,0,0,0,325920
334,Computers and Electronic Products,334514,53151LYLLM315S1,WI,53151LYLLM315S1,2015,WI,8990.9,334,0,0,8990.9,8990.9,0,0,334514
331,Primary Metals,331511,54166RRWCS2900E,WI,54166RRWCS2900E,2015,WI,82.875,331,0,93.82,176.777,82.957,0,.082,331511
326,Plastics and Rubber,326140333249,48854DRTCN432HO,MI,48854DRTCN432HO,2015,MI,0,326,0,74.29,74.29,0,0,0,326140
324,Petroleum,324110,47620NDNFR1200R,IN,47620NDNFR1200R,2015,IN,773,324,0,0,773,773,0,0,324110
324,Petroleum,324110,47620NDNFR1200R,IN,47620NDNFR1200R,2015,IN,39,324,0,0,39,39,0,0,324110
324,Petroleum,324110,47620NDNFR1200R,IN,47620NDNFR1200R,2015,IN,330,324,0,3,335,332,0,2,324110
325,Chemicals,325510,44094KLCRC37721,OH,44094KLCRC37721,2015,OH,350,325,0,0,350,350,0,0,325510
