NAICScode,AnnualPayroll,FirstQtrPayroll,State,GeographicIdentifierCode,Id2,ManufacturingSector,NumberOfRecords,NumberOfEstablishments,PaidEmployees,Year
315,25276,6139,Wisconsin,0400000US55,55,Apparel manufacturing,1,62,751,2015
312,177238,41149,Wisconsin,0400000US55,55,Beverage and tobacco product manufacturing,1,160,3448,2015
325,1012949,240977,Wisconsin,0400000US55,55,Chemical manufacturing,1,340,16357,2015
334,1573397,383431,Wisconsin,0400000US55,55,Computer and electronic product manufacturing,1,251,19835,2015
335,1279943,318513,Wisconsin,0400000US55,55,"Electrical equipment, appliance, and component manufacturing",1,184,21935,2015
332,3384609,825081,Wisconsin,0400000US55,55,Fabricated metal product manufacturing,1,1906,69080,2015
311,3243572,756284,Wisconsin,0400000US55,55,Food manufacturing,1,962,66907,2015
337,684127,160403,Wisconsin,0400000US55,55,Furniture and related product manufacturing,1,397,15660,2015
316,58139,13839,Wisconsin,0400000US55,55,Leather and allied product manufacturing,1,37,1412,2015
333,3766696,944003,Wisconsin,0400000US55,55,Machinery manufacturing,1,1054,62170,2015
339,623132,148608,Wisconsin,0400000US55,55,Miscellaneous manufacturing,1,593,12466,2015
327,481702,102451,Wisconsin,0400000US55,55,Nonmetallic mineral product manufacturing,1,379,9000,2015
322,1832572,459527,Wisconsin,0400000US55,55,Paper manufacturing,1,222,29352,2015
324,56270,12113,Wisconsin,0400000US55,55,Petroleum and coal products manufacturing,1,17,537,2015
326,1442090,355233,Wisconsin,0400000US55,55,Plastics and rubber products manufacturing,1,438,29704,2015
331,970551,240267,Wisconsin,0400000US55,55,Primary metal manufacturing,1,174,19252,2015
323,1285328,307512,Wisconsin,0400000US55,55,Printing and related support activities,1,700,26978,2015
313,61658,15719,Wisconsin,0400000US55,55,Textile mills,1,31,1196,2015
314,44549,10201,Wisconsin,0400000US55,55,Textile product mills,1,98,1121,2015
336,1385043,334954,Wisconsin,0400000US55,55,Transportation equipment manufacturing,1,256,25787,2015
321,672581,153846,Wisconsin,0400000US55,55,Wood product manufacturing,1,560,17976,2015
